,ANN,LSTM,RLS_Combiner
Train_RMSE,0.024731908274720545,0.036668512169633995,0.019137385901630836
Train_MAE,0.013213993626964782,0.013223033862981562,0.012110432644282335
Train_SMAPE,4.412027416061582,4.173721078075895,4.068373120600405
Val_RMSE,0.01991971465125457,0.014494188455809761,0.019580790841574713
Val_MAE,0.014554349013528431,0.009095854899221819,0.014442423546360772
Val_SMAPE,4.613966164025302,2.9103259691675256,4.421348187456152
Test_RMSE,0.02293184179773653,0.01716249473055438,0.020102956848994626
Test_MAE,0.014673439636403217,0.010220014682011128,0.013483597806625367
Test_SMAPE,4.759701635801873,3.264692103244513,4.275756960327811
