,Mean,Std,Min,Max
NetLoadDemand,1046.67382959997,182.62045723628415,571.5173333333333,2098.485833333333
temperature_2m_historic,26.450651168823242,1.9376769065856934,20.956998825073242,31.05699920654297
temperature_2m_forecast,26.480276107788086,1.7406988143920898,21.837499618530273,30.98750114440918
shortwave_radiation_historic,400.4638977050781,322.5265197753906,0.0,1026.0
shortwave_radiation_forecast,399.3182678222656,319.188720703125,0.0,986.0
cloud_cover_historic,53.533729553222656,33.63654327392578,0.0,100.0
cloud_cover_forecast,64.94444274902344,20.383913040161133,0.0,100.0
