,Mean,Std,Min,Max
NetLoadDemand,1381.0145182715837,984.0363289492661,-711.4166666666666,3139.909090909091
temperature_2m_historic,28.6765193939209,1.5158851146697998,23.279998779296875,32.029998779296875
temperature_2m_forecast,28.956632614135742,1.4454152584075928,25.08249855041504,32.18250274658203
shortwave_radiation_historic,430.7652282714844,332.6327819824219,0.0,1025.0
shortwave_radiation_forecast,429.3427429199219,328.2851867675781,0.0,987.0
cloud_cover_historic,63.60289764404297,34.82820510864258,0.0,100.0
cloud_cover_forecast,65.3840560913086,24.32697105407715,0.0,100.0
