,Mean,Std,Min,Max
NetLoadDemand,614.2414802065404,179.55470479315673,486.0,3368.5714285714284
temperature_2m_historic,25.572425842285156,1.0501612424850464,22.682498931884766,28.08249855041504
temperature_2m_forecast,26.093242645263672,0.816132128238678,24.157501220703125,28.00749969482422
shortwave_radiation_historic,0.0,0.0,0.0,0.0
shortwave_radiation_forecast,0.0,0.0,0.0,0.0
cloud_cover_historic,50.77777862548828,34.74335479736328,0.0,100.0
cloud_cover_forecast,52.558902740478516,25.549537658691406,0.0,100.0
