,Mean,Std,Min,Max
NetLoadDemand,1858.3260511019546,283.46777400926265,554.25,4457.363636363636
temperature_2m_historic,24.56998062133789,1.049998164176941,21.674999237060547,27.07499885559082
temperature_2m_forecast,24.790508270263672,0.8705950975418091,22.455501556396484,26.855501174926758
shortwave_radiation_historic,0.0,0.0,0.0,0.0
shortwave_radiation_forecast,0.0,0.0,0.0,0.0
cloud_cover_historic,50.698123931884766,34.83055114746094,0.0,100.0
cloud_cover_forecast,62.50602340698242,21.575284957885742,0.0,100.0
