,Mean,Std,Min,Max
NetLoadDemand,342.64851779725194,40.66951999749387,252.0,495.0
temperature_2m_historic,26.267099380493164,1.0564790964126587,23.253000259399414,28.753000259399414
temperature_2m_forecast,26.64992904663086,0.8140377998352051,24.72949981689453,28.579498291015625
shortwave_radiation_historic,0.0,0.0,0.0,0.0
shortwave_radiation_forecast,0.0,0.0,0.0,0.0
cloud_cover_historic,48.95569610595703,35.55257034301758,0.0,100.0
cloud_cover_forecast,52.63431930541992,25.537939071655273,0.0,100.0
