,Mean,Std,Min,Max
NetLoadDemand,4451.621840490092,460.4648057400837,3326.5,5506.0
temperature_2m_historic,26.857402801513672,0.9336428642272949,23.831499099731445,28.73149871826172
temperature_2m_forecast,27.30813217163086,0.6775374412536621,25.565500259399414,28.615501403808594
shortwave_radiation_historic,0.0,0.0,0.0,0.0
shortwave_radiation_forecast,0.0,0.0,0.0,0.0
cloud_cover_historic,65.53502655029297,34.825462341308594,0.0,100.0
cloud_cover_forecast,66.94927215576172,23.893131256103516,0.0,100.0
