,Mean,Std,Min,Max
NetLoadDemand,2495.2078629754456,247.05368117761742,1512.0833333333333,3123.3333333333335
temperature_2m_historic,26.665651321411133,0.9326250553131104,23.6299991607666,28.529998779296875
temperature_2m_forecast,26.90777587890625,0.6756843328475952,25.08249855041504,28.33249855041504
shortwave_radiation_historic,0.0,0.0,0.0,0.0
shortwave_radiation_forecast,0.0,0.0,0.0,0.0
cloud_cover_historic,65.9023208618164,34.574886322021484,0.0,100.0
cloud_cover_forecast,57.92551803588867,28.794885635375977,0.0,100.0
