,Mean,Std,Min,Max
NetLoadDemand,149.4095943792554,15.884531691060387,108.0,234.0
temperature_2m_historic,26.323375701904297,1.0847457647323608,23.23349952697754,28.68349838256836
temperature_2m_forecast,26.65920066833496,0.8334073424339294,24.71000099182129,28.510000228881836
shortwave_radiation_historic,0.0,0.0,0.0,0.0
shortwave_radiation_forecast,0.0,0.0,0.0,0.0
cloud_cover_historic,50.53201675415039,35.53759002685547,0.0,100.0
cloud_cover_forecast,52.564971923828125,26.348493576049805,0.0,100.0
