Time,NetLoadDemand,data_manipulated
2024-01-02 00:00:00,827.9900000000001,0
2024-01-02 00:15:00,627.9286,0
2024-01-02 00:30:00,784.7756666666668,0
2024-01-02 00:45:00,766.0053333333334,0
2024-01-02 01:00:00,743.4393333333334,0
2024-01-02 01:15:00,714.5423333333333,0
2024-01-02 01:30:00,783.2310000000001,0
2024-01-02 01:45:00,740.2103333333333,0
2024-01-02 02:00:00,740.9873333333334,0
2024-01-02 02:15:00,717.6403333333333,0
2024-01-02 02:30:00,733.6676666666666,0
2024-01-02 02:45:00,757.7556666666666,0
2024-01-02 03:00:00,693.3870000000001,0
2024-01-02 03:15:00,739.6523333333334,0
2024-01-02 03:30:00,729.4110000000001,0
2024-01-02 03:45:00,708.6086666666666,0
2024-01-02 04:00:00,728.8366666666667,0
2024-01-02 04:15:00,726.2473333333334,0
2024-01-02 04:30:00,731.4113333333333,0
2024-01-02 04:45:00,717.9426666666667,0
2024-01-02 05:00:00,695.3253333333333,0
2024-01-02 05:15:00,730.6603333333333,0
2024-01-02 05:30:00,728.7133333333335,0
2024-01-02 05:45:00,716.5896666666667,0
2024-01-02 06:00:00,743.9429999999999,0
2024-01-02 06:15:00,739.4196666666667,0
2024-01-02 06:30:00,715.16,0
2024-01-02 06:45:00,740.9076666666666,0
2024-01-02 07:00:00,733.3406666666666,0
2024-01-02 07:15:00,733.082,0
2024-01-02 07:30:00,779.828,0
2024-01-02 07:45:00,792.906,0
2024-01-02 08:00:00,835.399,0
2024-01-02 08:15:00,776.326,0
2024-01-02 08:30:00,823.5986666666668,0
2024-01-02 08:45:00,791.7926666666666,0
2024-01-02 09:00:00,955.9536666666667,0
2024-01-02 09:15:00,924.8616666666667,0
2024-01-02 09:30:00,908.1469999999999,0
2024-01-02 09:45:00,980.2063333333334,0
2024-01-02 10:00:00,912.4776666666667,0
2024-01-02 10:15:00,956.8416666666667,0
2024-01-02 10:30:00,967.0953333333333,0
2024-01-02 10:45:00,960.469,0
2024-01-02 11:00:00,823.984,0
2024-01-02 11:15:00,917.1266666666667,0
2024-01-02 11:30:00,944.0863333333333,0
2024-01-02 11:45:00,878.6763333333333,0
2024-01-02 12:00:00,889.848,0
2024-01-02 12:15:00,881.0129999999999,0
2024-01-02 12:30:00,962.0936666666666,0
2024-01-02 12:45:00,1013.7533333333334,0
2024-01-02 13:00:00,926.9966666666666,0
2024-01-02 13:15:00,1039.748,0
2024-01-02 13:30:00,997.5666666666666,0
2024-01-02 13:45:00,1027.3276666666668,0
2024-01-02 14:00:00,1044.143,0
2024-01-02 14:15:00,1097.83,0
2024-01-02 14:30:00,1089.73,0
2024-01-02 14:45:00,1096.0733333333335,0
2024-01-02 15:00:00,991.0616666666666,0
2024-01-02 15:15:00,1032.0823333333333,0
2024-01-02 15:30:00,791.614,0
2024-01-02 15:45:00,996.9216666666666,0
2024-01-02 16:00:00,1069.5633333333333,0
2024-01-02 16:15:00,1016.0506666666666,0
2024-01-02 16:30:00,961.3033333333333,0
2024-01-02 16:45:00,1032.3609999999999,0
2024-01-02 17:00:00,953.574,0
2024-01-02 17:15:00,931.632,0
2024-01-02 17:30:00,955.2863333333333,0
2024-01-02 17:45:00,845.4076666666666,0
2024-01-02 18:00:00,846.7860000000001,0
2024-01-02 18:15:00,888.7446666666666,0
2024-01-02 18:30:00,878.9,0
2024-01-02 18:45:00,866.0970000000001,0
2024-01-02 19:00:00,933.1766666666666,0
2024-01-02 19:15:00,897.848,0
2024-01-02 19:30:00,864.9253333333332,0
2024-01-02 19:45:00,854.793,0
2024-01-02 20:00:00,873.3873333333335,0
2024-01-02 20:15:00,879.0686666666667,0
2024-01-02 20:30:00,847.0193333333333,0
2024-01-02 20:45:00,860.4879999999999,0
2024-01-02 21:00:00,835.5973333333333,0
2024-01-02 21:15:00,854.442,0
2024-01-02 21:30:00,852.4639999999999,0
2024-01-02 21:45:00,828.4703333333333,0
2024-01-02 22:00:00,841.293,0
2024-01-02 22:15:00,825.5773333333333,0
2024-01-02 22:30:00,850.8733333333333,0
2024-01-02 22:45:00,816.023,0
2024-01-02 23:00:00,798.8299999999999,0
2024-01-02 23:15:00,592.5482499999999,0
2024-01-02 23:30:00,806.3003333333332,0
2024-01-02 23:45:00,761.0083333333333,0
2024-01-03 00:00:00,789.9563333333334,0
2024-01-03 00:15:00,586.4424,0
2024-01-03 00:30:00,771.8763333333333,0
2024-01-03 00:45:00,744.6616666666667,0
2024-01-03 01:00:00,762.1726666666667,0
2024-01-03 01:15:00,726.96,0
2024-01-03 01:30:00,742.4346666666667,0
2024-01-03 01:45:00,729.2573333333333,0
2024-01-03 02:00:00,714.9213333333333,0
2024-01-03 02:15:00,781.3556666666667,0
2024-01-03 02:30:00,691.5949999999999,0
2024-01-03 02:45:00,734.918,0
2024-01-03 03:00:00,699.9879999999999,0
2024-01-03 03:15:00,717.332,0
2024-01-03 03:30:00,723.717,0
2024-01-03 03:45:00,721.7666666666668,0
2024-01-03 04:00:00,708.4033333333333,0
2024-01-03 04:15:00,697.9233333333333,0
2024-01-03 04:30:00,694.0786666666667,0
2024-01-03 04:45:00,728.3456666666667,0
2024-01-03 05:00:00,667.3803333333334,0
2024-01-03 05:15:00,709.0073333333333,0
2024-01-03 05:30:00,733.7996666666667,0
2024-01-03 05:45:00,691.6366666666667,0
2024-01-03 06:00:00,722.2773333333333,0
2024-01-03 06:15:00,728.9343333333333,0
2024-01-03 06:30:00,715.6963333333333,0
2024-01-03 06:45:00,706.4446666666666,0
2024-01-03 07:00:00,728.6503333333334,0
2024-01-03 07:15:00,757.2633333333333,0
2024-01-03 07:30:00,762.366,0
2024-01-03 07:45:00,777.6453333333334,0
2024-01-03 08:00:00,756.0743333333334,0
2024-01-03 08:15:00,732.4433333333333,0
2024-01-03 08:30:00,743.9713333333334,0
2024-01-03 08:45:00,860.3629999999999,0
2024-01-03 09:00:00,889.493,0
2024-01-03 09:15:00,895.2773333333333,0
2024-01-03 09:30:00,857.291,0
2024-01-03 09:45:00,827.3263333333334,0
2024-01-03 10:00:00,900.4583333333334,0
2024-01-03 10:15:00,855.4153333333334,0
2024-01-03 10:30:00,839.7493333333333,0
2024-01-03 10:45:00,808.409,0
2024-01-03 11:00:00,824.3196666666666,0
2024-01-03 11:15:00,785.9166666666666,0
2024-01-03 11:30:00,941.3326666666667,0
2024-01-03 11:45:00,891.8919999999999,0
2024-01-03 12:00:00,898.0696666666666,0
2024-01-03 12:15:00,1008.6773333333332,0
2024-01-03 12:30:00,984.2003333333333,0
2024-01-03 12:45:00,941.35,0
2024-01-03 13:00:00,903.2233333333334,0
2024-01-03 13:15:00,894.3453333333333,0
2024-01-03 13:30:00,889.8149999999999,0
2024-01-03 13:45:00,967.5133333333333,0
2024-01-03 14:00:00,902.3896666666666,0
2024-01-03 14:15:00,905.4356666666666,0
2024-01-03 14:30:00,926.5516666666666,0
2024-01-03 14:45:00,931.75,0
2024-01-03 15:00:00,934.4053333333333,0
2024-01-03 15:15:00,953.5853333333333,0
2024-01-03 15:30:00,948.5536666666667,0
2024-01-03 15:45:00,970.9780000000001,0
2024-01-03 16:00:00,995.9593333333332,0
2024-01-03 16:15:00,672.9736666666666,0
2024-01-03 16:30:00,972.183,0
2024-01-03 16:45:00,991.0496666666667,0
2024-01-03 17:00:00,958.378,0
2024-01-03 17:15:00,952.7096666666666,0
2024-01-03 17:30:00,951.7489999999999,0
2024-01-03 17:45:00,936.9853333333334,0
2024-01-03 18:00:00,930.7816666666668,0
2024-01-03 18:15:00,925.812,0
2024-01-03 18:30:00,949.2113333333333,0
2024-01-03 18:45:00,986.8576666666667,0
2024-01-03 19:00:00,939.3086666666667,0
2024-01-03 19:15:00,934.5563333333333,0
2024-01-03 19:30:00,934.1173333333332,0
2024-01-03 19:45:00,930.4783333333334,0
2024-01-03 20:00:00,954.1033333333334,0
2024-01-03 20:15:00,908.6363333333334,0
2024-01-03 20:30:00,952.4276666666668,0
2024-01-03 20:45:00,902.4166666666666,0
2024-01-03 21:00:00,947.835,0
2024-01-03 21:15:00,900.8896666666666,0
2024-01-03 21:30:00,874.5576666666666,0
2024-01-03 21:45:00,915.4643333333333,0
2024-01-03 22:00:00,893.3283333333334,0
2024-01-03 22:15:00,881.765,0
2024-01-03 22:30:00,904.8093333333333,0
2024-01-03 22:45:00,856.0663333333333,0
2024-01-03 23:00:00,852.4573333333333,0
2024-01-03 23:15:00,583.8756666666667,0
2024-01-03 23:30:00,816.717,0
