Actual,ANN,LSTM
209.7,220.16518,251.16524
212.4,230.1382,264.78876
241.20000000000002,276.3001,293.0618
309.6,346.6746,363.31912
389.7,450.72467,427.25668
463.2,561.93085,510.93283
516.6,540.5786,524.34937
503.1,546.7531,523.1993
493.20000000000005,551.47784,508.09082
504.0,575.44214,518.8824
520.8000000000001,532.93195,521.47864
463.5,543.5085,518.3286
396.9,555.89996,497.30737
337.2,435.45435,435.8518
322.2,335.82742,354.13367
266.4,302.61725,311.19476
228.0,244.82132,272.03607
207.6,214.70107,254.48131
197.1,212.50656,243.42424
198.0,213.61299,255.85818
192.24,243.04507,211.97934
192.6,223.81584,224.67917
187.2,228.7438,245.27335
192.0,230.64319,279.48175
184.79999999999998,229.8592,223.0068
184.32,237.07924,241.14835
201.6,270.68695,279.48676
195.3,323.26416,338.88382
181.20000000000002,395.84155,383.30377
186.3,476.2826,444.92834
217.20000000000002,447.8535,442.102
223.20000000000002,453.3484,463.4571
242.4,476.81412,421.51053
244.08,474.0613,429.27847
247.5,447.72458,451.1258
261.0,453.7213,445.74362
249.3,478.3144,430.03058
234.9,386.11227,411.40103
233.1,301.87555,317.4742
220.79999999999998,289.52213,270.7983
212.4,254.80524,252.09679
199.8,217.50185,239.36424
194.4,220.80266,229.34871
188.1,224.45647,242.51874
187.2,211.82513,146.18758
194.4,193.17561,148.1371
188.4,198.8154,137.84883
184.79999999999998,191.27983,135.61324
195.6,203.6932,150.00633
212.4,207.36761,164.87889
284.4,262.65332,225.69315
416.40000000000003,332.28568,324.05756
542.7,411.766,431.26694
649.1999999999999,507.2234,550.19135
675.0,481.6938,568.6953
645.1200000000001,488.99347,572.3579
670.5,505.45645,565.60583
678.5999999999999,516.7571,593.6968
657.6,485.26178,571.4552
651.6,494.0462,575.9465
617.0400000000001,510.47473,532.1608
468.0,401.62396,419.63586
363.6,309.50696,306.02115
278.40000000000003,271.168,251.18227
248.4,239.05115,206.03787
228.0,211.63258,167.58307
205.20000000000002,199.52274,163.89793
201.6,202.27875,141.26178
198.0,192.9246,190.98523
201.6,190.13995,187.58513
199.8,181.71637,173.04861
202.5,180.36354,164.19843
217.20000000000002,198.12183,204.14485
229.20000000000002,206.94366,209.8852
283.5,273.30325,265.9882
392.4,369.16562,377.0885
504.0,466.99615,486.58942
613.1999999999999,583.87244,602.28186
655.1999999999999,580.37885,633.6528
649.8,592.5222,631.0003
649.8,586.92664,631.9836
637.2,617.4259,636.47095
659.7,583.68933,630.43665
640.8,593.67206,631.09644
